Galaxy1_Wavelength,Galaxy1_Flux,Galaxy1_Interpolated_Wavelength,Galaxy1_Interpolated_Flux,Galaxy2_Wavelength,Galaxy2_Flux,Galaxy2_Interpolated_Wavelength,Galaxy2_Interpolated_Flux,Galaxy3_Wavelength,Galaxy3_Flux,Galaxy3_Interpolated_Wavelength,Galaxy3_Interpolated_Flux,Galaxy4_Wavelength,Galaxy4_Flux,Galaxy4_Interpolated_Wavelength,Galaxy4_Interpolated_Flux,Galaxy5_Wavelength,Galaxy5_Flux,Galaxy5_Interpolated_Wavelength,Galaxy5_Interpolated_Flux,Galaxy6_Wavelength,Galaxy6_Flux,Galaxy6_Interpolated_Wavelength,Galaxy6_Interpolated_Flux,Galaxy7_Wavelength,Galaxy7_Flux,Galaxy7_Interpolated_Wavelength,Galaxy7_Interpolated_Flux,Galaxy8_Wavelength,Galaxy8_Flux,Galaxy8_Interpolated_Wavelength,Galaxy8_Interpolated_Flux,Galaxy9_Wavelength,Galaxy9_Flux,Galaxy9_Interpolated_Wavelength,Galaxy9_Interpolated_Flux,Galaxy10_Wavelength,Galaxy10_Flux,Galaxy10_Interpolated_Wavelength,Galaxy10_Interpolated_Flux
2.0,2.3051393,nan,nan,2.0,0.5053585,nan,nan,2.0,-1.0914357,nan,nan,2.0,2.1252682,nan,nan,2.0,0.30656543,nan,nan,2.0,3.8125455,nan,nan,2.0,0.47761703,nan,nan,2.0,4.374084,nan,nan,2.0,0.15867008,nan,nan,2.0,4.7086716,nan,nan
1.9585592,2.3544018,nan,nan,1.9585592,0.5459175,nan,nan,1.9585592,-1.0338622,nan,nan,1.9585592,2.2793555,nan,nan,1.9585592,0.42260334,nan,nan,1.9585592,3.8055925,nan,nan,1.9585592,0.46707755,nan,nan,1.9585592,4.437002,nan,nan,1.9585592,0.19317228,nan,nan,1.9585592,4.6614523,nan,nan
1.9175107,2.404415,nan,nan,1.9175107,0.57969004,nan,nan,1.9175107,-0.9857051,nan,nan,1.9175107,2.4635787,nan,nan,1.9175107,0.5380939,nan,nan,1.9175107,3.7923036,nan,nan,1.9175107,0.4489819,nan,nan,1.9175107,4.488519,nan,nan,1.9175107,0.22231342,nan,nan,1.9175107,4.608667,nan,nan
1.8760388,2.4367023,nan,nan,1.8760388,0.6016131,nan,nan,1.8760388,-0.9507303,nan,nan,1.8760388,2.5772266,nan,nan,1.8760388,0.63281286,nan,nan,1.8760388,3.7666028,nan,nan,1.8760388,0.41704655,nan,nan,1.8760388,4.525425,nan,nan,1.8760388,0.240659,nan,nan,1.8760388,4.5386643,nan,nan
1.8344207,2.4745643,nan,nan,1.8344207,0.6105872,nan,nan,1.8344207,-0.9301139,nan,nan,1.8344207,2.744752,nan,nan,1.8344207,0.7117003,nan,nan,1.8344207,3.72962,nan,nan,1.8344207,0.37233317,nan,nan,1.8344207,4.5457673,nan,nan,1.8344207,0.24887042,nan,nan,1.8344207,4.453291,nan,nan
1.7930915,2.492817,nan,nan,1.7930915,0.60702205,nan,nan,1.7930915,-0.92340857,nan,nan,1.7930915,2.8457587,nan,nan,1.7930915,0.78815776,nan,nan,1.7930915,3.685701,nan,nan,1.7930915,0.3193768,nan,nan,1.7930915,4.5484633,nan,nan,1.7930915,0.24655917,nan,nan,1.7930915,4.360233,nan,nan
1.7520485,2.5243244,nan,nan,1.7520485,0.5862708,nan,nan,1.7520485,-0.93414515,nan,nan,1.7520485,2.9921923,nan,nan,1.7520485,0.85389614,nan,nan,1.7520485,3.630973,nan,nan,1.7520485,0.2541042,nan,nan,1.7520485,4.530009,nan,nan,1.7520485,0.23179832,nan,nan,1.7520485,4.251784,nan,nan
1.7101173,2.5535078,nan,nan,1.7101173,0.5475046,nan,nan,1.7101173,-0.9621603,nan,nan,1.7101173,3.1183016,nan,nan,1.7101173,0.92118967,nan,nan,1.7101173,3.56804,nan,nan,1.7101173,0.17919225,nan,nan,1.7101173,4.4881287,nan,nan,1.7101173,0.20437388,nan,nan,1.7101173,4.132693,nan,nan
1.6693169,2.5958047,nan,nan,1.6693169,0.4911098,nan,nan,1.6693169,-1.0069706,nan,nan,1.6693169,3.2462587,nan,nan,1.6693169,0.9761663,nan,nan,1.6693169,3.5014682,nan,nan,1.6693169,0.1002833,nan,nan,1.6693169,4.4227376,nan,nan,1.6693169,0.16684994,nan,nan,1.6693169,4.0115438,nan,nan
1.6273658,2.6393602,nan,nan,1.6273658,0.41245908,nan,nan,1.6273658,-1.0708034,nan,nan,1.6273658,3.354645,nan,nan,1.6273658,1.0291735,nan,nan,1.6273658,3.428811,nan,nan,1.6273658,0.014852339,nan,nan,1.6273658,4.3278093,nan,nan,1.6273658,0.11687779,nan,nan,1.6273658,3.8840716,nan,nan
